他的歌声让剧院里的人都倾倒了。	His singing was admired by everyone in the theater.
她流下眼泪，把委屈都倾倒了出来。	She shed tears and poured out her grievances.
这一句话需要去几个错误的字。	Few wrong words need to be dropped in this sentence
明天拔河比赛，我们公司将会全军都出动。	Fort tug of war tomorrow, our company will dispatch all employees.
这个问题不能热处理。	This problem cannot be handled immediately.
他对这件事情的热度持续很久。	His enthusiasm for this matter lasted for a long time.
一年有365日。	There are 365 days in a year.
货物入口要经过海关。	The imported goods should go through customs.
这个电影十分入味。	This movie is very amusing.
用机油润泽一下机器的转动部位。	Lubricate the rotating parts of the machine with oil.
这个文章很涩。	This article is very obscure.
他们在敌人阵营捉了个舌头回来。	They caught an enemy back from the enemy camp.
夜已经很深了。	The night has already grown late.
他的筷子都是牙制的。	His chopsticks are made of ivory.
这个小孩子需要收拾。	This child needs to be punished.
这个破了的桌子需要收拾。	This broken table needs to be repaired.
这个犯了罪的人需要修理。	The offender needs to be punished.
疏通两个村子之间的冲突。	Mediate the conflict between the two villages.
这篇文章的水太多。	There is too much useless stuff in this article.
这一带的私房都要拆除。	The private houses in this area must be demolished.
他的嘴真碎，一天到晚就在说。	His is so garrulous, and he is talking all the day.
这部科幻影片描述了一个太空人和地球上的一个男孩接触的故事。	This science fiction film describes the story about the interaction between an alien and a boy on the Earth.
这个老师所教授的桃李在各行各业都是精英。	The students taught by this teacher are elite in all walks of life.
理论性强的文章也可以写得通俗易懂，不一定要写成天书。	Articles that are highly theoretical can also be written in a simple and understandable way, and do not have to be written as double Dutch.
听完这句话，他的心里很透亮。	After hearing this words, he knew very well in his heart.
这种坦克已经退役。	This kind of tank has been decommissioned.
许多家庭正在办年货。	Many families are purchasing New Year's products.
这部书可是他刚在书店买的宝贝。	This book is the treasure he just bought at the bookstore.
这个老师请这个学生背刚刚他在黑板上写的课文。	The teacher asked the student to recite the text he had just written on the blackboard.
他正在编明天晚会上要唱的歌的歌词。	He is compiling the lyrics of the song to be sung at the party tomorrow.
这个魔术师正在变一个魔术。	The magician is doing a magic tricks.
这个领导人私访的时候会带几个便衣保护自己。	The leader will bring a few men dressing plain clothes to protect himself during a private visit.
请如实写这个有关开设钟表店的表。	Please write this form about opening watch shop.
飞机擦着山顶。	The plane approached the top of the mountain.
这是土匪从山里出世的季节。	This is the season when the bandits haunt from the mountains.
他正在穿这家服装店旁边的马路。	He is crossing the street next to this clothing store.
他正在搭今晚要睡的帐篷。	He is setting up a tent to sleep tonight.
这个演员的嗓子倒了。	The actor lost his voice.
如果他离职，没有人能抵他的工作。	If he leaves, no one can take over his job.
这个堡垒里的敌人经常出来祸害百姓，部队打算拔掉这个钉子。	The enemies in this fort often come out to harm the people, and the troops intend to eliminate this scourge.
你的眼睛真毒，能在这么多人中找到犯罪分子。	Your eyes are so acute that you can find criminals in so many people.
这支部队遭受了敌人攻击，正在给总部发电。	The army was attacked by the enemy and is sending a telegram to headquarters.
这个寺庙刚刚被装修的工人翻过。	This temple has just been renovated by the decorated workers.
他上课讲话，又一次犯了在学校不应该犯的错误。	He spoke in class and made a mistake again that should not be made in school.
一个好的读者在看书的时候都有自己的防腐剂。	A good reader has his own ability to resist bad ideas when reading a book.
这个刀口飞快。	This knife edge is sharpened.
这个电网工人在医院测血压，他的高压太高。	The grid worker was taking blood pressure at the hospital, and his high blood pressure was too high.
经历了一次背叛之后，他们的关系之间有了一个疙瘩。	After experiencing a betrayal, there was a misunderstanding in their relationship.
这个人没骨头。	This person has no moral integrity.
你不要把两个不同的东西裹到一起。	You don't mix two different things together.
工作认真的她是铁路部门的一面红旗。	She who is working hard is an advanced individual of the railway department.
这种思想又再次回潮。	This kind of thinking has resurrected again.
这个机长今天的飞行任务是开一架大的飞机。	The captain's mission today is to fly a large aircraft.
过去他很穷，但是现在他变阔了。	He was poor in the past, but now he is wealthy.
